dataset,round,reference,method,kind,operating_point,d_balanced_accuracy,d_balanced_accuracy_lo,d_balanced_accuracy_hi,d_balanced_accuracy_p,d_mcc,d_mcc_lo,d_mcc_hi,d_mcc_p,d_sensitivity,d_sensitivity_lo,d_sensitivity_hi,d_sensitivity_p,d_specificity,d_specificity_lo,d_specificity_hi,d_specificity_p
CAID3 Disorder-PDB,caid3,disorder_pdb,PredIDR2-Prof-Art,DED,calibrated,0.005512699837276653,-0.017186708573997272,0.02604604285352508,0.578,-0.013254179544463661,-0.055451986333179604,0.02594187612544958,0.518,0.04096383364083475,-0.002629761983425405,0.08327523506520577,0.058,-0.02993843396628144,-0.049745833128394375,-0.01046802285901909,0.002
CAID3 Disorder-PDB,caid3,disorder_pdb,PredIDR2-Seq-Art,DED,calibrated,0.0018886351487196844,-0.01328626310280638,0.01734924150820893,0.806,-0.01682306899803041,-0.04995158562128209,0.015526058559608567,0.314,0.0304834293163637,0.0017398134949840134,0.06313445263168282,0.032,-0.02670615901892433,-0.048631140003031086,-0.007259511846941669,0.01
CAID3 Disorder-PDB,caid3,disorder_pdb,AUCpred-profile,DED,calibrated,-0.048418756558609936,-0.07385872330627687,-0.022797492269671336,0.001,-0.08025019328966682,-0.12242351443614022,-0.04031491427759245,0.001,-0.09129829699743602,-0.14493584629703496,-0.039618704936459595,0.001,-0.00553921611978385,-0.014788922371659713,0.003020518442997238,0.204
CAID3 Disorder-PDB,caid3,disorder_pdb,AUCpred-no-profile,DED,calibrated,-0.07023051689354566,-0.0924030223837961,-0.045815154379490665,0.001,-0.13587938339508118,-0.17480073960443174,-0.0965083986931218,0.001,-0.1093554158894456,-0.15454176743959286,-0.06257274191645068,0.001,-0.031105617897645738,-0.04406391472030565,-0.01907070445665623,0.001
CAID3 Disorder-PDB,caid3,disorder_pdb,DisoPred,DED,calibrated,-0.03228909627743535,-0.051066327659757056,-0.012934685128384926,0.001,-0.06672451082152056,-0.10146496979601805,-0.0318471682619174,0.001,-0.044110461279596974,-0.0821863137506346,-0.006958340671486607,0.026,-0.020467731275273713,-0.03612191258336021,-0.003818142152458976,0.01
CAID3 Disorder-PDB,caid3,disorder_pdb,DisPredict2,DED,calibrated,-0.21509724440760386,-0.24615766836648534,-0.18380063510268374,0.001,-0.4670970506832352,-0.525746311184006,-0.4085261551174743,0.001,-0.19821742249303653,-0.25849395064543657,-0.13730322091180405,0.001,-0.23197706632217113,-0.2710418915264302,-0.19425079907213544,0.001
CAID3 Disorder-PDB,caid3,disorder_pdb,DisPredict3,DED,calibrated,-0.053082989754145715,-0.07642032578900754,-0.032346379320570565,0.001,-0.13153655735492836,-0.17336191469328688,-0.09410500261407694,0.001,-0.03726800755635259,-0.08159060308530276,0.006371578654371897,0.074,-0.06889797195193884,-0.09381809069439748,-0.048462799776529536,0.001
CAID3 Disorder-PDB,caid3,disorder_pdb,IDP-Fusion,DED,calibrated,-0.024477031481499746,-0.05420322240407013,0.0017041227859521785,0.07,-0.05108540769705084,-0.09853715178320169,-0.009417988851075592,0.014,-0.032797240821824974,-0.09405607732899036,0.020691521040603445,0.23,-0.01615682214117452,-0.03071848024022419,-0.0035618975171520504,0.008
CAID3 Disorder-PDB,caid3,disorder_pdb,rawMSA-disorder,DED,calibrated,-0.047840433528939796,-0.07719405061591503,-0.02074095465526935,0.001,-0.13125504324706658,-0.18514535896342774,-0.08256386506824248,0.001,-0.010059576718778917,-0.06784913781685212,0.04277694517054705,0.766,-0.08562129033910068,-0.11280391492293673,-0.060594161087954165,0.001
CAID3 Disorder-PDB,caid3,disorder_pdb,Metapredict-v1,DED,calibrated,-0.07637527554505107,-0.09698323573499328,-0.05505260705004455,0.001,-0.13706504777395823,-0.17136407234721987,-0.10077163138792287,0.001,-0.13285466626364512,-0.17207753818895152,-0.08858814145654097,0.001,-0.01989588482645702,-0.03021014884686434,-0.009408600737216576,0.001
CAID3 Disorder-PDB,caid3,disorder_pdb,Metapredict-v2,DED,calibrated,-0.023549524846784596,-0.038638649175303776,-0.009276571138286198,0.001,-0.04652554108647775,-0.07242609667570725,-0.020679229583414876,0.001,-0.03486274546657734,-0.06591452847297463,-0.006314057779924804,0.022,-0.012236304226991863,-0.025483070473456944,-0.0004977527628547401,0.042
