dataset,method,insample_bacc,cv_bacc,insample_mcc,cv_mcc,cv_threshold_mean,cv_threshold_sd
CAID2 Disorder-PDB,rawMSA,0.8343198240982039,0.8225652333344506,0.6939026696090863,0.6841142618717712,0.5064,0.03635436700040315
CAID2 Disorder-PDB,metapredict,0.8641376360338979,0.8646433740265216,0.7630191993846588,0.7628451564854218,0.497,0.006000000000000005
CAID2 Disorder-PDB,disomine,0.7962849371119458,0.7960594491409871,0.607865550806677,0.599512897124423,0.26890000000000003,0.031335124062304265
CAID2 Disorder-PDB,s2D,0.7117162419226849,0.7113328247429272,0.396821517182217,0.3945422641724215,0.5383000000000001,0.012578155667664489
CAID2 Disorder-NOX,AlphaFold-disorder,0.7025582612818978,0.6987089518315217,0.3615033313248814,0.35423969578915343,0.217,0.03259140991120206
CAID2 Disorder-NOX,AlphaFold-rsa,0.7131360660453845,0.7034536423634388,0.3789838949216166,0.3621171812076229,0.5445999999999999,0.04502488200983983
CAID2 Disorder-NOX,AIUPred,0.7023312191638507,0.6990394400305044,0.3606992785141801,0.3544179845092896,0.6485105,0.04687499858399999
CAID2 Disorder-NOX,IUPred3,0.6920596219063954,0.6898039830987652,0.3464615368293147,0.3426049830436779,0.5112,0.020960916010518263
CAID2 Disorder-NOX,ESpritz-D,0.7065701450325341,0.676213936276512,0.36866142818151987,0.3204664108007641,0.35059999999999997,0.07611465036377688
CAID2 Disorder-NOX,ESpritz-N,0.6637271010389241,0.6615409049961749,0.2927832316641554,0.2874981346638646,0.2819,0.034051284850942116
CAID2 Disorder-NOX,ESpritz-X,0.6673246687532414,0.6587771185710225,0.299650534204111,0.28270430832127574,0.0688,0.03167270117940685
CAID2 Disorder-NOX,MobiDB-lite,0.6872653362443479,0.6848158229046717,0.3343084873181304,0.32859643880207456,0.1875,0.0625
CAID2 Disorder-NOX,flDPnn,0.7055583434895807,0.6766004917433941,0.3661811157776821,0.3169253466272305,0.1851,0.10613807045542142
CAID2 Disorder-NOX,flDPnn2,0.716995572165642,0.70089319147728,0.3879485402820288,0.35988589338929244,0.2062,0.04684613111026352
CAID2 Disorder-NOX,DISOPRED3-diso,0.6813244297963519,0.6750899505882132,0.32246891004006767,0.31132479859204565,0.366,0.10209799214480172
CAID2 Disorder-NOX,SETH-0,0.7216407875004159,0.7201560394933375,0.3946971896513303,0.3921042562026493,0.3485,0.020284230328015893
CAID2 Disorder-NOX,SETH-1,0.7106401758359073,0.708358870236114,0.3746463620344324,0.3706183647707039,0.36110000000000003,0.030405427147139383
CAID2 Disorder-NOX,VSL2,0.681919674393126,0.6786729653208408,0.32380179589070823,0.317674708388687,0.6224,0.032059943855222234
CAID2 Disorder-NOX,SPOT-Disorder,0.7086850699654036,0.6986111468224466,0.3712948318324972,0.3531229999929212,0.48541730000000005,0.10133900262786288
CAID2 Disorder-NOX,SPOT-Disorder2,0.733663052655013,0.73266106956215,0.41544465820475607,0.4137456519555097,0.34119999999999995,0.025301383361389547
CAID2 Disorder-NOX,SPOT-Disorder-Single,0.7091673065591486,0.7037290351328194,0.37195494455819805,0.3629729017752632,0.2064,0.0539596145279041
CAID2 Disorder-NOX,DisEMBL-dis465,0.625792239018083,0.6185839371309834,0.2242610319609548,0.21113914509910114,0.3684,0.0344098823014552
