dataset,round,reference,plddt_cutoff,sensitivity,specificity,balanced_accuracy,mcc,sensitivity_long
CAID2 Disorder-NOX,caid2,disorder_nox,39.0,0.30542503203759075,0.8321686651314222,0.5687968485845065,0.1514619826855067,0.3111903952882546
CAID2 Disorder-NOX,caid2,disorder_nox,40.0,0.336982058949167,0.8149964265861986,0.5759892427676828,0.16146850679261474,0.34318722392116885
CAID2 Disorder-NOX,caid2,disorder_nox,41.0,0.36405382315249896,0.800623362185341,0.58233859266892,0.1704255254016903,0.3707667912560879
CAID2 Disorder-NOX,caid2,disorder_nox,42.0,0.3927274668944895,0.7861113316922099,0.5894193992933497,0.18069808076021146,0.399705515913467
CAID2 Disorder-NOX,caid2,disorder_nox,43.0,0.4209739427595045,0.7727507345350592,0.5968623386472818,0.19183092726694814,0.4284177143504361
CAID2 Disorder-NOX,caid2,disorder_nox,44.0,0.45215719777872704,0.7595886603668704,0.6058729290727988,0.2058184454136772,0.45962170121191526
CAID2 Disorder-NOX,caid2,disorder_nox,45.0,0.4771465185818026,0.7494441356309061,0.6132953271063544,0.2173926411202627,0.4849926378978367
CAID2 Disorder-NOX,caid2,disorder_nox,46.0,0.49983981204613415,0.7399150321607242,0.6198774221034291,0.22751682471766552,0.5076452599388379
CAID2 Disorder-NOX,caid2,disorder_nox,47.0,0.5177808628791115,0.7331851028349082,0.6254829828570099,0.23637275669299104,0.5258806206818439
CAID2 Disorder-NOX,caid2,disorder_nox,48.0,0.5375907731738573,0.7250059556896689,0.6312983644317631,0.24534426381676028,0.5456450334126175
CAID2 Disorder-NOX,caid2,disorder_nox,49.0,0.5578278513455788,0.7186929246406734,0.6382603879931261,0.25665720902634503,0.5658058670291086
CAID2 Disorder-NOX,caid2,disorder_nox,50.0,0.5745941905168731,0.7124394504883665,0.6435168205026198,0.26495505069337094,0.5827387020047571
CAID2 Disorder-NOX,caid2,disorder_nox,51.0,0.5926954293037163,0.7063646470261257,0.6495300381649209,0.27462319624761244,0.600634273417148
CAID2 Disorder-NOX,caid2,disorder_nox,52.0,0.606685177274669,0.7009648217263559,0.6538249995005124,0.2813863025430729,0.6146788990825688
CAID2 Disorder-NOX,caid2,disorder_nox,53.0,0.6196604015378043,0.6953267688398317,0.657493585188818,0.2870444657775721,0.6274776305357345
CAID2 Disorder-NOX,caid2,disorder_nox,54.0,0.6344510892780862,0.6894107837687604,0.6619309365234234,0.2940458110696946,0.6418054139766678
CAID2 Disorder-NOX,caid2,disorder_nox,55.0,0.6456642460486971,0.6842690383546415,0.6649666422016693,0.29872831702493013,0.6522822516706309
CAID2 Disorder-NOX,caid2,disorder_nox,56.0,0.6584792823579667,0.6792067021361073,0.668842992247037,0.3049217050631267,0.6646279306829765
CAID2 Disorder-NOX,caid2,disorder_nox,57.0,0.6720418624519436,0.6732510124672437,0.6726464374595937,0.3109308800479532,0.6775965568014498
