dataset,method,kind,operating_point,lo,hi,n_residues,recall
CAID2 Disorder-PDB,pyHCA,DED,calibrated,6,10,160,0.475
CAID2 Disorder-PDB,pyHCA,DED,calibrated,11,15,898,0.38530066815144765
CAID2 Disorder-PDB,pyHCA,DED,calibrated,16,20,752,0.4228723404255319
CAID2 Disorder-PDB,pyHCA,DED,calibrated,21,30,1381,0.499637943519189
CAID2 Disorder-PDB,pyHCA,DED,calibrated,31,50,1665,0.45285285285285287
CAID2 Disorder-PDB,pyHCA,DED,calibrated,51,100,3649,0.704576596327761
CAID2 Disorder-PDB,pyHCA,DED,calibrated,101,200,3672,0.7706971677559913
CAID2 Disorder-PDB,pyHCA,DED,calibrated,201,-1,10717,0.7382663058691799
CAID2 Disorder-PDB,DeepIDP-2L,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,DeepIDP-2L,DED,calibrated,6,10,160,0.5
CAID2 Disorder-PDB,DeepIDP-2L,DED,calibrated,11,15,898,0.46993318485523383
CAID2 Disorder-PDB,DeepIDP-2L,DED,calibrated,16,20,752,0.5718085106382979
CAID2 Disorder-PDB,DeepIDP-2L,DED,calibrated,21,30,1381,0.6314265025343954
CAID2 Disorder-PDB,DeepIDP-2L,DED,calibrated,31,50,1665,0.6432432432432432
CAID2 Disorder-PDB,DeepIDP-2L,DED,calibrated,51,100,3649,0.8117292408879145
CAID2 Disorder-PDB,DeepIDP-2L,DED,calibrated,101,200,3672,0.8243464052287581
CAID2 Disorder-PDB,DeepIDP-2L,DED,calibrated,201,-1,10717,0.8481851264346365
CAID2 Disorder-PDB,PredIDR-long,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,PredIDR-long,DED,calibrated,6,10,160,0.54375
CAID2 Disorder-PDB,PredIDR-long,DED,calibrated,11,15,898,0.5657015590200446
CAID2 Disorder-PDB,PredIDR-long,DED,calibrated,16,20,752,0.699468085106383
CAID2 Disorder-PDB,PredIDR-long,DED,calibrated,21,30,1381,0.7060101375814627
CAID2 Disorder-PDB,PredIDR-long,DED,calibrated,31,50,1665,0.6762762762762763
CAID2 Disorder-PDB,PredIDR-long,DED,calibrated,51,100,3649,0.8191285283639353
CAID2 Disorder-PDB,PredIDR-long,DED,calibrated,101,200,3672,0.8398692810457516
CAID2 Disorder-PDB,PredIDR-long,DED,calibrated,201,-1,10717,0.8992255295325184
CAID2 Disorder-PDB,PredIDR-short,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,PredIDR-short,DED,calibrated,6,10,160,0.73125
CAID2 Disorder-PDB,PredIDR-short,DED,calibrated,11,15,898,0.6258351893095768
CAID2 Disorder-PDB,PredIDR-short,DED,calibrated,16,20,752,0.7074468085106383
CAID2 Disorder-PDB,PredIDR-short,DED,calibrated,21,30,1381,0.6944243301955105
CAID2 Disorder-PDB,PredIDR-short,DED,calibrated,31,50,1665,0.6570570570570571
CAID2 Disorder-PDB,PredIDR-short,DED,calibrated,51,100,3649,0.7969306659358728
CAID2 Disorder-PDB,PredIDR-short,DED,calibrated,101,200,3672,0.7943899782135077
CAID2 Disorder-PDB,PredIDR-short,DED,calibrated,201,-1,10717,0.8755248670336848
CAID2 Disorder-PDB,AUCpred-profile,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,AUCpred-profile,DED,calibrated,6,10,160,0.7125
CAID2 Disorder-PDB,AUCpred-profile,DED,calibrated,11,15,898,0.5734966592427617
CAID2 Disorder-PDB,AUCpred-profile,DED,calibrated,16,20,752,0.5930851063829787
CAID2 Disorder-PDB,AUCpred-profile,DED,calibrated,21,30,1381,0.7139753801593048
CAID2 Disorder-PDB,AUCpred-profile,DED,calibrated,31,50,1665,0.6978978978978979
CAID2 Disorder-PDB,AUCpred-profile,DED,calibrated,51,100,3649,0.7648670868731159
CAID2 Disorder-PDB,AUCpred-profile,DED,calibrated,101,200,3672,0.8300653594771242
CAID2 Disorder-PDB,AUCpred-profile,DED,calibrated,201,-1,10717,0.7918260707287487
