dataset,method,kind,operating_point,threshold,stratum,local_recall,local_specificity,local_bacc,local_bacc_lo,local_bacc_hi,local_mcc,n_pos,n_neg
CAID3 Disorder-PDB,SPOT-Disorder2,DED,literal,0.5,mid_20_30,0.5909090909090909,0.946524064171123,0.768716577540107,0.7265183329163432,0.8110317090388152,0.5347474079712536,1540,935
CAID3 Disorder-PDB,SPOT-Disorder2,DED,literal,0.5,long_gt30,0.7855333966445077,0.930244847630791,0.8578891221376493,0.8274858100228909,0.8859549209186791,0.6212161954064148,18954,5677
CAID3 Disorder-PDB,SPOT-Disorder2,DED,calibrated,0.378,short_lt20,0.5680309734513275,0.8673700075357951,0.7177004904935613,0.687519324956405,0.7493701013206698,0.4423720739078073,1808,1327
CAID3 Disorder-PDB,SPOT-Disorder2,DED,calibrated,0.378,mid_20_30,0.6597402597402597,0.9144385026737968,0.7870893812070283,0.7418015616796385,0.8293417416505144,0.560435813980585,1540,935
CAID3 Disorder-PDB,SPOT-Disorder2,DED,calibrated,0.378,long_gt30,0.8308008863564419,0.889906640831425,0.8603537635939335,0.8268659534533641,0.8893533965511705,0.6429161600671516,18954,5677
CAID3 Disorder-PDB,SPOT-Disorder-Single,DED,literal,0.5,short_lt20,0.26548672566371684,0.9773926149208741,0.6214396702922955,0.5918703572989462,0.6515040011699352,0.3251438229155987,1808,1327
CAID3 Disorder-PDB,SPOT-Disorder-Single,DED,literal,0.5,mid_20_30,0.36298701298701297,0.9721925133689839,0.6675897631779985,0.6204048677372129,0.7139849438170826,0.38250297176540177,1540,935
CAID3 Disorder-PDB,SPOT-Disorder-Single,DED,literal,0.5,long_gt30,0.5400443178220956,0.9737537431742117,0.7568990304981537,0.727735266163043,0.7871201881956325,0.43818007542639126,18954,5677
CAID3 Disorder-PDB,SPOT-Disorder-Single,DED,calibrated,0.169,short_lt20,0.5022123893805309,0.8010550113036925,0.6516337003421118,0.6226546391752578,0.6800776184187937,0.3096966073452711,1808,1327
CAID3 Disorder-PDB,SPOT-Disorder-Single,DED,calibrated,0.169,mid_20_30,0.6558441558441559,0.8577540106951872,0.7567990832696716,0.711124618442645,0.8045480097869496,0.4994757445488694,1540,935
