dataset,round,reference,method,kind,operating_point,dbacc_short_lt20,dbacc_short_lt20_lo,dbacc_short_lt20_hi,dbacc_short_lt20_p,relbacc_short_lt20,relbacc_short_lt20_lo,relbacc_short_lt20_hi,drecall_short_lt20,dbacc_mid_20_30,dbacc_mid_20_30_lo,dbacc_mid_20_30_hi,dbacc_mid_20_30_p,relbacc_mid_20_30,relbacc_mid_20_30_lo,relbacc_mid_20_30_hi,drecall_mid_20_30,dbacc_long_gt30,dbacc_long_gt30_lo,dbacc_long_gt30_hi,dbacc_long_gt30_p,relbacc_long_gt30,relbacc_long_gt30_lo,relbacc_long_gt30_hi,drecall_long_gt30,interaction_short_minus_long,interaction_lo,interaction_hi,interaction_p
CAID2 Disorder-PDB,caid2,disorder_pdb,PredIDR-short,DED,literal,0.13921728563753077,0.10327453233215117,0.17099524865202712,0.001,0.2021729618436967,0.14453487853815808,0.25896344854212444,0.3554439295393569,0.10583985844127858,0.06342580316258223,0.153720766876201,0.001,0.14439998619212674,0.08276656262668088,0.21858083900976205,0.2886890751468525,0.10083885223444938,0.07181201398379795,0.12966955235419195,0.001,0.12744669363885175,0.08828498420645976,0.16831567510029657,0.2786870627331941,0.0383784334030814,-0.0071186073289803975,0.08331371895336183,0.108
CAID2 Disorder-PDB,caid2,disorder_pdb,AUCpred-profile,DED,literal,0.05720867088717219,0.015619875669960434,0.09812170977377913,0.004,0.0831830238913309,0.02291683933008894,0.14600352918460663,0.14660583358800067,0.047860417446195354,-0.004922034960608018,0.10186371383953355,0.07,0.06559937179175826,-0.006779357883640179,0.14370169791136347,0.12790932670604704,0.04576612475831339,0.015313315989595656,0.07387378368076375,0.002,0.05790826709004956,0.01900044739744844,0.09547048507248065,0.12372074133028307,0.011442546128858803,-0.037956306477286615,0.06215377018499276,0.676
CAID2 Disorder-PDB,caid2,disorder_pdb,AUCpred-no-profile,DED,literal,-0.0005549812190266114,-0.041451463435410535,0.039123340339884856,0.976,-0.00042951821915325326,-0.058154080385032184,0.057458130287834724,0.019420417742991403,-0.04757450007317312,-0.10135787012709445,0.0072532336587667,0.108,-0.06407068476334857,-0.1346396904108295,0.010334303395336912,-0.0746186199653016,-0.02079574880616171,-0.05615445040837553,0.012439245591280316,0.206,-0.026003227384878456,-0.06788617602761832,0.015816230763877885,-0.021061117431278788,0.020240767587135097,-0.032292550652100196,0.07383367586274253,0.452
CAID2 Disorder-PDB,caid2,disorder_pdb,DisoPred,DED,literal,-0.09376910492875913,-0.1419693374294344,-0.04345727397326611,0.002,-0.13533920216398138,-0.20045344344737676,-0.06567310615178032,-0.1553698894013928,-0.05416718086715841,-0.11944086316758301,0.017077235676116003,0.14,-0.07268396438192318,-0.15508747222654623,0.024894262540218422,-0.07616604127819133,0.05165023708948072,0.015136958138093029,0.08595080997977396,0.002,0.06539532895374928,0.01881063716983234,0.11079591902462398,0.13546879463508693,-0.1454193420182399,-0.20255472018080597,-0.08711376632768526,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,Dispredict2,DED,literal,-0.11356771980619851,-0.1583932314246073,-0.06735670143253021,0.001,-0.16401688311810153,-0.2227319842593956,-0.10221844337321687,-0.11469305702650312,-0.1643441781983484,-0.22652584128275116,-0.09806820132969545,0.001,-0.22245543325107825,-0.29745726426089686,-0.1386217767101855,-0.21624597381080293,-0.2049485538865357,-0.24749671305859117,-0.15834740860015475,0.001,-0.2581476759868364,-0.30763013383293186,-0.2035398808945873,-0.2974547251871776,0.09138083408033722,0.026410462076468535,0.15214611344571657,0.004
CAID2 Disorder-PDB,caid2,disorder_pdb,Dispredict3,DED,literal,-0.12050669739060207,-0.16535930624774595,-0.07229974968022967,0.001,-0.17398821538287962,-0.22995966223420955,-0.10805782559754742,-0.23846033174114098,-0.1356364281314118,-0.1936355600293792,-0.07051059993448758,0.001,-0.18339851755487596,-0.2546155681388344,-0.10051449925716696,-0.26871979322276046,-0.13862158116072992,-0.18906550577766876,-0.0839139865988396,0.001,-0.17443049612119443,-0.23487883361126932,-0.10607956415170694,-0.27469009928139676,0.01811488377012789,-0.05783418070281409,0.09022061651663757,0.598
CAID2 Disorder-PDB,caid2,disorder_pdb,IDP-Fusion,DED,literal,0.03643123194565992,-0.007566443590682367,0.07925862333449042,0.096,0.05319079042663477,-0.010531727663291825,0.11775673752663646,0.1320954790064428,0.040968711107096864,-0.009474170045667151,0.09677165548764652,0.11,0.05632731524269354,-0.012469959033449201,0.13602254971655264,0.14117043732931675,0.09677132573291171,0.06609458188061955,0.12923753399003912,0.001,0.12227389289358752,0.08094229074909258,0.1684871764740901,0.2527756665809464,-0.060340093787251796,-0.11215845922032237,-0.009547182904472212,0.026
CAID2 Disorder-PDB,caid2,disorder_pdb,rawMSA,DED,literal,-0.00030404002765393247,-0.04271982603715736,0.04585962053731654,0.97,-5.8016275205213796e-05,-0.0601105929695598,0.06830937925921157,0.04171181335859975,-0.04650481786866558,-0.11492236716027625,0.02073623769490047,0.158,-0.062296520719367664,-0.1508410636475848,0.029719716850948943,-0.05068974232342357,0.057592953152868574,0.005886832663934236,0.10401392510354332,0.028,0.07303461735293312,0.007115623455396125,0.13471941863197173,0.1575057997196448,-0.057896993180522514,-0.11638296976734197,0.0059502193671213495,0.082
CAID2 Disorder-PDB,caid2,disorder_pdb,metapredict,DED,literal,0.016318287424322928,-0.025671505841416753,0.05790465024770574,0.442,0.023982345150719425,-0.03573843810865428,0.08597268083320385,0.06053575504944481,0.01593194601827066,-0.03495675791217713,0.06870656428570802,0.554,0.02223040410057385,-0.04604870005718964,0.09543088311355723,0.059763072237340266,0.09271900727919975,0.06250233063138763,0.12555632864984864,0.001,0.11716495445257732,0.07733675752850655,0.16353115530459159,0.21333719475919843,-0.07640071985487683,-0.12763608052048273,-0.02612621052515255,0.002
CAID2 Disorder-PDB,caid2,disorder_pdb,disomine,DED,literal,-0.14264707523221642,-0.1815607705090125,-0.10109981777264399,0.001,-0.20622467166986952,-0.2547906926624629,-0.15273695357001202,-0.2659439669902298,-0.13870989712160536,-0.20949848662879225,-0.06317720819358938,0.001,-0.18722544311913966,-0.2707459583631587,-0.08950812683107975,-0.25806961076900764,-0.09373966665849925,-0.14917745282418943,-0.03230912723657377,0.002,-0.11784232669331088,-0.18424811364021287,-0.04068363080631465,-0.16812914984279545,-0.048907408573717163,-0.12077699862105216,0.015880632948913592,0.172
