dataset,round,reference,method,kind,operating_point,threshold,stratum,recall,recall_lo,recall_hi,specificity,balanced_accuracy,bacc_lo,bacc_hi,mcc,n_pos_residues,n_targets
CAID3 Disorder-NOX,caid3,disorder_nox,flDPnn3a,DED,literal,0.5,long_gt30,0.7988728638952854,0.7309830636179429,0.8664816106835246,0.7951498278262144,0.79701134586075,0.7624352090012642,0.8298425932907515,0.5550512931975679,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,flDPnn3a,DED,calibrated,0.462,short_lt20,0.7197346600331676,0.5966330029769755,0.84134547225185,0.7477959313258603,0.733765295679514,0.6759931155371594,0.7915798500038863,0.1276308394283368,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,flDPnn3a,DED,calibrated,0.462,mid_20_30,0.8292046936114733,0.7173175954246614,0.9221076571942908,0.7477959313258603,0.7885003124686668,0.7275310769478301,0.8385150277234853,0.1761127023183998,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,flDPnn3a,DED,calibrated,0.462,long_gt30,0.8768028117803902,0.8277002395861915,0.9195022599517899,0.7477959313258603,0.8122993715531253,0.7824583753399971,0.838615370231355,0.5705951601252796,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,flDPnn3b,DED,literal,0.5,short_lt20,0.23714759535655058,0.12279004645834658,0.36427729027404354,0.9503016093975138,0.5937246023770322,0.5395292785222935,0.6575142703511617,0.10058439931362068,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,flDPnn3b,DED,literal,0.5,mid_20_30,0.242503259452412,0.11870947368421053,0.3825573907998133,0.9503016093975138,0.5964024344249629,0.5334711488662275,0.6638706893233306,0.11536986412773514,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,flDPnn3b,DED,literal,0.5,long_gt30,0.31784026178645014,0.2250787942725463,0.41853369340873486,0.9503016093975138,0.634070935591982,0.5896480241250566,0.6790839504527211,0.364720823211348,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,flDPnn3b,DED,calibrated,0.245,short_lt20,0.6633499170812603,0.5335424119751458,0.7908963942164827,0.771338559601436,0.7173442383413482,0.653898902801171,0.7818212767151663,0.12261155834240954,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,flDPnn3b,DED,calibrated,0.245,mid_20_30,0.757496740547588,0.6321673404292121,0.880628792848942,0.771338559601436,0.764417650074512,0.6980283158257398,0.8247583047053774,0.1667400770746348,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,flDPnn3b,DED,calibrated,0.245,long_gt30,0.7812386377408799,0.6933022893737997,0.851725870300376,0.771338559601436,0.776288598671158,0.7303301547739405,0.81260088438621,0.5132443543028048,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,DISOPRED3-diso,DED,literal,0.5,short_lt20,0.3814262023217247,0.25561902783547985,0.5023229266220665,0.7876767528756685,0.5845514775986966,0.5186116317756785,0.6483716034531519,0.049244666527080094,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,DISOPRED3-diso,DED,literal,0.5,mid_20_30,0.47979139504563234,0.3479805726652683,0.6240719947931743,0.7876767528756685,0.6337340739606504,0.5629064483364505,0.706932027335581,0.08713926126613106,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,DISOPRED3-diso,DED,literal,0.5,long_gt30,0.711004726699794,0.6551758993091145,0.7628016120553246,0.7876767528756685,0.7493407397877312,0.7139725193794164,0.7827404102751201,0.4713791210783217,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,DISOPRED3-diso,DED,calibrated,0.37,short_lt20,0.43449419568822556,0.3096597363626621,0.5636737110584805,0.751972061445283,0.5932331285667543,0.525109668264966,0.6576326156752136,0.05144868351270104,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,DISOPRED3-diso,DED,calibrated,0.37,mid_20_30,0.5580182529335072,0.4229228912408636,0.6988153088183754,0.751972061445283,0.654995157189395,0.5830696518617707,0.7271555096648794,0.09570670726649785,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,DISOPRED3-diso,DED,calibrated,0.37,long_gt30,0.7714216458611077,0.7202170235910517,0.8187740630733402,0.751972061445283,0.7616968536531954,0.726936598435591,0.7944893311575719,0.4837457583817307,16502,161
