dataset,method,kind,operating_point,stratum,n_regions,detection_rate,mean_overlap
CAID2 Disorder-PDB,SPOT-Disorder-Single,DED,literal,long_gt30,153,0.5359477124183006,0.5100111384525317
CAID2 Disorder-PDB,SPOT-Disorder-Single,DED,calibrated,short_lt20,118,0.4745762711864407,0.47687392961734415
CAID2 Disorder-PDB,SPOT-Disorder-Single,DED,calibrated,mid_20_30,64,0.53125,0.527760692572115
CAID2 Disorder-PDB,SPOT-Disorder-Single,DED,calibrated,long_gt30,153,0.6928104575163399,0.6986876521663833
CAID2 Disorder-PDB,DisEMBL-dis465,DED,literal,short_lt20,118,0.423728813559322,0.3977420843792125
CAID2 Disorder-PDB,DisEMBL-dis465,DED,literal,mid_20_30,64,0.296875,0.35943472417727473
CAID2 Disorder-PDB,DisEMBL-dis465,DED,literal,long_gt30,153,0.28104575163398693,0.3850065337244118
CAID2 Disorder-PDB,DisEMBL-dis465,DED,calibrated,short_lt20,118,0.635593220338983,0.5777531499375836
CAID2 Disorder-PDB,DisEMBL-dis465,DED,calibrated,mid_20_30,64,0.515625,0.535431873475586
CAID2 Disorder-PDB,DisEMBL-dis465,DED,calibrated,long_gt30,153,0.6013071895424836,0.5610267166034061
CAID2 Disorder-PDB,DisEMBL-disHL,DED,literal,short_lt20,118,0.0,0.002245027737300918
CAID2 Disorder-PDB,DisEMBL-disHL,DED,literal,mid_20_30,64,0.0,0.0006793478260869565
CAID2 Disorder-PDB,DisEMBL-disHL,DED,literal,long_gt30,153,0.0,0.0010356046169698603
CAID2 Disorder-PDB,DisEMBL-disHL,DED,calibrated,short_lt20,118,0.8813559322033898,0.807816802322758
CAID2 Disorder-PDB,DisEMBL-disHL,DED,calibrated,mid_20_30,64,0.78125,0.7229621175821513
CAID2 Disorder-PDB,DisEMBL-disHL,DED,calibrated,long_gt30,153,0.7777777777777778,0.6650133533765443
CAID2 Disorder-PDB,IsUnstruct,DED,literal,short_lt20,118,0.6779661016949152,0.6279808501131375
CAID2 Disorder-PDB,IsUnstruct,DED,literal,mid_20_30,64,0.640625,0.6365909303697441
CAID2 Disorder-PDB,IsUnstruct,DED,literal,long_gt30,153,0.7908496732026143,0.7329490823785284
CAID2 Disorder-PDB,IsUnstruct,DED,calibrated,short_lt20,118,0.5677966101694916,0.5289226247433861
CAID2 Disorder-PDB,IsUnstruct,DED,calibrated,mid_20_30,64,0.5625,0.5504922024744926
CAID2 Disorder-PDB,IsUnstruct,DED,calibrated,long_gt30,153,0.7189542483660131,0.6698331503206683
CAID2 Disorder-PDB,RONN,DED,literal,short_lt20,118,0.6694915254237288,0.6449686613550286
CAID2 Disorder-PDB,RONN,DED,literal,mid_20_30,64,0.75,0.6826768727144711
CAID2 Disorder-PDB,RONN,DED,literal,long_gt30,153,0.7973856209150327,0.7174853900033575
CAID2 Disorder-PDB,RONN,DED,calibrated,short_lt20,118,0.4915254237288136,0.468572247908581
CAID2 Disorder-PDB,RONN,DED,calibrated,mid_20_30,64,0.625,0.5447497288044982
CAID2 Disorder-PDB,RONN,DED,calibrated,long_gt30,153,0.6405228758169934,0.6007830016549461
CAID2 Disorder-PDB,PreDisorder,DED,literal,short_lt20,118,0.788135593220339,0.7644003646240358
CAID2 Disorder-PDB,PreDisorder,DED,literal,mid_20_30,64,0.84375,0.8102230242063451
CAID2 Disorder-PDB,PreDisorder,DED,literal,long_gt30,153,0.8823529411764706,0.8047224281935375
CAID2 Disorder-PDB,PreDisorder,DED,calibrated,short_lt20,118,0.5932203389830508,0.5687668653462064
CAID2 Disorder-PDB,PreDisorder,DED,calibrated,mid_20_30,64,0.65625,0.6043842359851543
CAID2 Disorder-PDB,PreDisorder,DED,calibrated,long_gt30,153,0.6535947712418301,0.6354684147301809
CAID2 Disorder-PDB,OPAL,DED,literal,short_lt20,118,0.6949152542372882,0.7080595166656064
CAID2 Disorder-PDB,OPAL,DED,literal,mid_20_30,64,0.84375,0.8160655467720686
CAID2 Disorder-PDB,OPAL,DED,literal,long_gt30,153,0.8431372549019608,0.8162353961620487
CAID2 Disorder-PDB,OPAL,DED,calibrated,short_lt20,118,0.6949152542372882,0.7015214385921343
CAID2 Disorder-PDB,OPAL,DED,calibrated,mid_20_30,64,0.84375,0.8120635502054168
CAID2 Disorder-PDB,OPAL,DED,calibrated,long_gt30,153,0.8366013071895425,0.81199884740137
CAID2 Disorder-PDB,pyHCA,DED,literal,short_lt20,118,0.059322033898305086,0.07161065781454615
CAID2 Disorder-PDB,pyHCA,DED,literal,mid_20_30,64,0.09375,0.11073839833971488
CAID2 Disorder-PDB,pyHCA,DED,literal,long_gt30,153,0.24836601307189543,0.2848933745676013
CAID2 Disorder-PDB,pyHCA,DED,calibrated,short_lt20,118,0.4152542372881356,0.4105786737080357
CAID2 Disorder-PDB,pyHCA,DED,calibrated,mid_20_30,64,0.515625,0.4693379444950144
CAID2 Disorder-PDB,pyHCA,DED,calibrated,long_gt30,153,0.6862745098039216,0.639164931473783
CAID2 Disorder-PDB,DeepIDP-2L,DED,literal,short_lt20,118,0.4491525423728814,0.44348720198047215
CAID2 Disorder-PDB,DeepIDP-2L,DED,literal,mid_20_30,64,0.5625,0.5457995001937093
CAID2 Disorder-PDB,DeepIDP-2L,DED,literal,long_gt30,153,0.7581699346405228,0.7243237205654866
CAID2 Disorder-PDB,DeepIDP-2L,DED,calibrated,short_lt20,118,0.5084745762711864,0.506393434858041
CAID2 Disorder-PDB,DeepIDP-2L,DED,calibrated,mid_20_30,64,0.625,0.6107162763991381
CAID2 Disorder-PDB,DeepIDP-2L,DED,calibrated,long_gt30,153,0.7973856209150327,0.7722504351781376
CAID2 Disorder-PDB,PredIDR-long,DED,literal,short_lt20,118,0.7033898305084746,0.6719994172901897
CAID2 Disorder-PDB,PredIDR-long,DED,literal,mid_20_30,64,0.75,0.7457403601919625
CAID2 Disorder-PDB,PredIDR-long,DED,literal,long_gt30,153,0.8366013071895425,0.8277546302627542
CAID2 Disorder-PDB,PredIDR-long,DED,calibrated,short_lt20,118,0.635593220338983,0.6010044817277724
CAID2 Disorder-PDB,PredIDR-long,DED,calibrated,mid_20_30,64,0.734375,0.6958045000915363
CAID2 Disorder-PDB,PredIDR-long,DED,calibrated,long_gt30,153,0.803921568627451,0.7936017975135727
CAID2 Disorder-PDB,PredIDR-short,DED,literal,short_lt20,118,0.7966101694915254,0.7470177561967981
CAID2 Disorder-PDB,PredIDR-short,DED,literal,mid_20_30,64,0.796875,0.7667577910803174
CAID2 Disorder-PDB,PredIDR-short,DED,literal,long_gt30,153,0.8431372549019608,0.8288590934283062
CAID2 Disorder-PDB,PredIDR-short,DED,calibrated,short_lt20,118,0.7033898305084746,0.6622753358437751
CAID2 Disorder-PDB,PredIDR-short,DED,calibrated,mid_20_30,64,0.71875,0.6914775757188145
CAID2 Disorder-PDB,PredIDR-short,DED,calibrated,long_gt30,153,0.7843137254901961,0.767171164878126
CAID2 Disorder-PDB,AUCpred-profile,DED,literal,short_lt20,118,0.5677966101694916,0.5334542064592046
CAID2 Disorder-PDB,AUCpred-profile,DED,literal,mid_20_30,64,0.625,0.600723455782723
CAID2 Disorder-PDB,AUCpred-profile,DED,literal,long_gt30,153,0.7058823529411765,0.69311591129856
CAID2 Disorder-PDB,AUCpred-profile,DED,calibrated,short_lt20,118,0.6440677966101694,0.6124010106913369
CAID2 Disorder-PDB,AUCpred-profile,DED,calibrated,mid_20_30,64,0.640625,0.6639151464555559
CAID2 Disorder-PDB,AUCpred-profile,DED,calibrated,long_gt30,153,0.7516339869281046,0.7568526015179611
CAID2 Disorder-PDB,AUCpred-no-profile,DED,literal,short_lt20,118,0.4406779661016949,0.41118791991010867
CAID2 Disorder-PDB,AUCpred-no-profile,DED,literal,mid_20_30,64,0.40625,0.4004832048772969
CAID2 Disorder-PDB,AUCpred-no-profile,DED,literal,long_gt30,153,0.5751633986928104,0.5562491831012588
CAID2 Disorder-PDB,AUCpred-no-profile,DED,calibrated,short_lt20,118,0.6016949152542372,0.591704899730822
CAID2 Disorder-PDB,AUCpred-no-profile,DED,calibrated,mid_20_30,64,0.578125,0.606745295168974
CAID2 Disorder-PDB,AUCpred-no-profile,DED,calibrated,long_gt30,153,0.7124183006535948,0.6917124947212868
CAID2 Disorder-PDB,DisoPred,DED,literal,short_lt20,118,0.2288135593220339,0.23200789673148914
CAID2 Disorder-PDB,DisoPred,DED,literal,mid_20_30,64,0.421875,0.4070050217686556
CAID2 Disorder-PDB,DisoPred,DED,literal,long_gt30,153,0.6928104575163399,0.6481210445766762
CAID2 Disorder-PDB,DisoPred,DED,calibrated,short_lt20,118,0.3050847457627119,0.3000377300339257
CAID2 Disorder-PDB,DisoPred,DED,calibrated,mid_20_30,64,0.484375,0.4668291230224326
CAID2 Disorder-PDB,DisoPred,DED,calibrated,long_gt30,153,0.7450980392156863,0.7004780372261565
CAID2 Disorder-PDB,Dispredict2,DED,literal,short_lt20,118,0.3135593220338983,0.28714622125671874
CAID2 Disorder-PDB,Dispredict2,DED,literal,mid_20_30,64,0.25,0.2588831905382224
